"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"6","62","0","62"
"7","73","0","73"
"8","36","0","36"
"9","78","0","78"
"10","75","0","75"
"11","56","0","56"
"12","58","0","58"
"13","75","0","75"
"14","48","0","48"
"15","67","0","67"
"16","74","0","74"
"17","69","0","69"
"18","65","0","65"
"19","65","0","65"
"20","79","0","79"
"21","57","0","57"
"22","39","0","39"
"23","69","0","69"
"24","76","0","76"
"25","43","0","43"
"26","58","0","58"
"27","66","0","66"
"28","78","0","78"
"29","70","0","70"
"30","62","0","62"
"31","74","0","74"
"32","58","0","58"
"33","82","0","82"
"34","37","0","37"
"35","96","0","96"
"36","35","0","35"
"37","72","0","72"
"38","73","0","73"
"39","75","0","75"
"40","70","0","70"
"41","66","0","66"
"42","66","0","66"
"43","87","0","87"
"44","57","19","76"
"45","0","49","49"
"46","0","63","63"
"47","0","30","30"
"48","0","54","54"
"49","0","70","70"
"50","0","20","20"
"51","0","30","30"
